x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
850.0,-82.11775476407267,-77.11775476407267,-72.11775476407267,-67.11775476407267,-62.11775476407268,-57.11775476407268,-52.11775476407267,-47.11775476407267,-42.11775476407267,-37.11775476407267,-32.11775476407267,-27.11775476407267,-22.11775476407267,-17.11775476407267,-12.117754764072671,-7.1177547640726715,-2.1177547640726724,2.8822452359273267,7.882245235927326,12.882245235927325
875.0,-84.39994630198552,-79.39994630198552,-74.39994630198552,-69.39994630198551,-64.39994630198551,-59.39994630198551,-54.39994630198551,-49.3999463019855,-44.3999463019855,-39.399946301985494,-34.399946301985494,-29.399946301985494,-24.399946301985494,-19.399946301985498,-14.399946301985498,-9.399946301985498,-4.399946301985497,0.6000536980145039,5.600053698014505,10.600053698014506
900.0,-86.72759001017542,-81.72759001017543,-76.72759001017543,-71.72759001017543,-66.72759001017543,-61.72759001017545,-56.72759001017545,-51.72759001017545,-46.72759001017545,-41.72759001017546,-36.72759001017546,-31.72759001017546,-26.72759001017546,-21.72759001017546,-16.72759001017546,-11.727590010175462,-6.7275900101754615,-1.7275900101754615,3.2724099898245385,8.272409989824538
925.0,-89.10113249457677,-84.10113249457677,-79.10113249457676,-74.10113249457676,-69.10113249457676,-64.10113249457675,-59.101132494576746,-54.101132494576746,-49.101132494576746,-44.10113249457673,-39.10113249457673,-34.10113249457673,-29.10113249457673,-24.10113249457673,-19.10113249457673,-14.101132494576731,-9.101132494576731,-4.101132494576731,0.8988675054232687,5.898867505423269
950.0,-91.5210101617467,-86.5210101617467,-81.5210101617467,-76.5210101617467,-71.5210101617467,-66.5210101617467,-61.521010161746695,-56.5210101617467,-51.5210101617467,-46.5210101617467,-41.5210101617467,-36.5210101617467,-31.521010161746702,-26.521010161746702,-21.521010161746705,-16.521010161746705,-11.521010161746705,-6.521010161746705,-1.5210101617467053,3.4789898382532947
975.0,-93.98764867872549,-88.98764867872548,-83.98764867872548,-78.98764867872546,-73.98764867872546,-68.98764867872545,-63.98764867872544,-58.98764867872545,-53.98764867872545,-48.98764867872545,-43.98764867872545,-38.98764867872545,-33.98764867872545,-28.98764867872545,-23.98764867872545,-18.987648678725453,-13.987648678725453,-8.987648678725453,-3.987648678725453,1.0123513212745472
1000.0,-96.50146242745954,-91.50146242745954,-86.50146242745953,-81.50146242745953,-76.50146242745953,-71.50146242745951,-66.50146242745951,-61.501462427459515,-56.501462427459515,-51.50146242745952,-46.50146242745952,-41.50146242745952,-36.50146242745953,-31.50146242745953,-26.50146242745953,-21.501462427459526,-16.501462427459526,-11.501462427459526,-6.501462427459526,-1.5014624274595256
1025.0,-99.06285395416838,-94.06285395416838,-89.06285395416839,-84.06285395416839,-79.0628539541684,-74.0628539541684,-69.0628539541684,-64.0628539541684,-59.0628539541684,-54.0628539541684,-49.062853954168396,-44.062853954168396,-39.062853954168396,-34.06285395416839,-29.06285395416839,-24.06285395416839,-19.06285395416839,-14.06285395416839,-9.06285395416839,-4.062853954168389
1050.0,-101.67221341404654,-96.67221341404654,-91.67221341404654,-86.67221341404654,-81.67221341404654,-76.67221341404654,-71.67221341404652,-66.67221341404652,-61.67221341404653,-56.67221341404653,-51.672213414046524,-46.672213414046524,-41.672213414046524,-36.672213414046524,-31.672213414046517,-26.672213414046517,-21.672213414046517,-16.672213414046517,-11.672213414046517,-6.672213414046517
1075.0,-104.32991801171035,-99.32991801171035,-94.32991801171035,-89.32991801171036,-84.32991801171036,-79.32991801171036,-74.32991801171038,-69.32991801171038,-64.32991801171038,-59.32991801171037,-54.32991801171037,-49.32991801171037,-44.32991801171036,-39.32991801171036,-34.329918011710355,-29.329918011710355,-24.329918011710355,-19.329918011710355,-14.329918011710355,-9.329918011710355
